LocationGUID,LocationName,LocationCode,TimeZone,LocationAddress,LocationCity,LocationPostalCode,LocationPrintedName,LocationState
09fa3bed-3619-4bef-80ef-020bca84ae80,DFC - Howell,DFHO,Eastern Standard Time,5315 US Hwy 9 N.,Howell,07731,DFC - Howell,NJ
b976253a-dce8-4fea-b4fa-0eb28e3c69cf,CDH - Downingtown,CDDO,Eastern Standard Time,3915 W. Lincoln Hwy.,Downingtown,19335,CDH - Downingtown,PA
5f133a58-20ac-4b75-87ec-0ffc00e58912,Spark - York,SPAY,Eastern Standard Time,928 Carlisle Rd,York,17404,Spark - York,PA
4b070305-3ea3-424c-8128-116b64cf468c,Spark - Hazleton,SPAH,Eastern Standard Time,330 Laurel Mall Dr,West Hazleton,18202,Spark - Hazleton,PA
204d556b-4c90-41bb-877d-139e567ff3db,Spark - Pottsville,SPAP,Eastern Standard Time,100 E. Union St,Pottsville,17901,Spark - Pottsville,PA
e11c7c3b-6208-4e89-ac61-16a8f0723591,Ghosh - Pottsville,G2,Eastern Standard Time,1620 Mt. Hope Ave,Pottsville,17901,Ghosh Orthodontics - Pottsville,PA
3a8a26db-82d5-40e2-be4e-18b3e196951b,CDH - West Grove,CDWG,Eastern Standard Time,"900 West Bailtmore Pike, Suite 203",West Grove,19390,CDH - West Grove,PA
0a7eadb5-8b53-49ae-9b93-2bbae792d821,Spark - Harrisburg,SPHA,Eastern Standard Time,4425 Jonestown Rd,Harrisburg,17109,Spark - Harrisburg,PA
62221d12-bd6e-4cd0-a476-3837820efe05,Spark - Lancaster,SPAL,Eastern Standard Time,886 Plaza Blvd,Lancaster,17601,Spark - Lancaster,PA
15e6ceaa-11a4-468f-8803-3d7cbc1e5bcb,CDH - Springfield,CDSP,Eastern Standard Time,130 S. State Rd.,Springfield,19064,CDH - Springfield,PA
5f274ff6-90a6-5ece-f3b5-41b71a8ffaa4,Nashville,A,Central Standard Time,1801 West End Ave.,Nashville,37203,CSDP,TN
ee63ae00-a0da-4c9d-b3f6-4b2baea7c705,CPDO - Lawrenceburg,CPLA,Central Standard Time,185 Prosser Road,Lawrenceburg,38464,CPDO - Lawrenceburg,TN
d618c1b6-c021-4e8c-a442-57baa08d0944,CPDO - Smyrna,CPSM,Central Standard Time,1540 Rock Springs Road,Smyrna,37167,CPDO - Smyrna,TN
b24e3638-cd69-4f8a-a2d8-62cb7abadffa,DFC - Jackson,DFJA,Eastern Standard Time,21 South Hope Chapel Road,Jackson,08527,DFC - Jackson,NJ
e6eb4032-8ed4-4871-8732-75ba9f475da3,DFC - Toms River,DFTR,Eastern Standard Time,"1256 Indian Head Rd, Units 16-18",Toms River,08755,DFC - Toms River,NJ
